
Org,Amount,Reason,Class,Why,EIN,Website,CharityNavigator,GuideStar,Summary
Hiller Aviation Museum,,education,Local,"David is a helicopter pilot and flies regularly out of San Carlos airport; this is one of the best museums on earth to cover the commercialization of helicopter flight and is very child-friendly, even with a drone aviary and motion sim!",94-3226411,https://www.hiller.org,https://www.charitynavigator.org/ein/943226411,https://www.guidestar.org/profile/94-3226411,"Aviation museum in San Carlos, California that uses aviation to inspire adventure and innovation while exploring the science of flight."
Monterey Bay Aquarium,,education,Local,"One of the world's best acquariums, close enough to the Bay Area for a day trip but far enough to feel like an adventure. Their jellyfish exhibit is famous and they do so much to care for the ecology of the marine environment.",94-2487469,https://www.montereybayaquarium.org,https://www.charitynavigator.org/ein/942487469,https://www.guidestar.org/profile/94-2487469,"Nonprofit aquarium in Monterey, California dedicated to inspiring conservation of the ocean through exhibits, research, and education."
Computer History Museum,,education,Local,"Probably the best computer museum in the world, right in the heart of Silicon Valley, it is a shrine to computing from the Analytical Engine to the iPhone.",77-0507525,https://computerhistory.org,https://www.charitynavigator.org/ein/770507525,https://www.guidestar.org/profile/77-0507525,"Museum in Mountain View, California preserving and presenting artifacts and stories of the information age and exploring the digital future."
Exploratorium,,education,Local,A highly accessible hands-on science museum. David's trips to his local science museum with his dad were highly influential.,94-1696494,https://www.exploratorium.edu,https://www.charitynavigator.org/ein/941696494,https://www.guidestar.org/profile/94-1696494,San Francisco science museum that creates inquiry‑based experiences and environments to inspire curiosity and learning.
Raising A Reader,,education,Local,,94-3390149,https://raisingareader.org,https://www.charitynavigator.org/ein/943390149,https://www.guidestar.org/profile/94-3390149,National literacy program that supports families to develop literacy skills and a lifelong love of reading through book rotation and parent engagement.
Redwood City Library Foundation,,education,Local,"Our city has a superb public library in the heart of our downtown, with a makerspace, computer terminals, reading rooms, kid-friendly areas, and regular community events.",94-3293215,https://www.rclfdn.org,https://www.charitynavigator.org/ein/943293215,https://www.guidestar.org/profile/94-3293215,"Nonprofit supporting Redwood City Public Library by cultivating literacy, lifelong learning and community connections through fundraising and advocacy."
Redwood City Parks & Arts,,environment,Local,"We have a vibrant set of parks and trails and exciting downtown events on the square: films, music, pub in the park, Oktoberfest, and more - things that make people proud to live here.",45-4990174,https://www.rwcpaf.org,https://www.charitynavigator.org/ein/454990174,https://www.guidestar.org/profile/45-4990174,"Foundation that advocates for and provides support for parks, recreational programming, community services and cultural activities in Redwood City and surrounding areas."
Hacker Dojo,,education,Local,"I helped start this hackerspace in South Bay in 2010; it was the birthplace of Pinterest, Matterport, Webflow, Pebble Watch, and more. It is a superb place for people to transition their careers to tech and to level up and helps teach thousands of people a month about technology and community.",26-4812213,https://hackerdojo.org,https://www.charitynavigator.org/ein/264812213,https://www.guidestar.org/profile/26-4812213,"Community hackerspace in Silicon Valley that provides workspace, tools, and community for makers, entrepreneurs, and tech enthusiasts to build projects and learn new skills."
Redwood City Education Foundation,,education,Local,"RCEF helps supplement educational opportunities for the 6,500 children of our school district, helping to step in at schools with smaller or non-existent Parent Teacher Organizations.",94-2903141,https://www.rcef.org,https://www.charitynavigator.org/ein/942903141,https://www.guidestar.org/profile/94-2903141,Education foundation that raises funds to enrich and advance educational opportunities for all K‑8 students in the Redwood City School District.
LifeMoves,,homeless,Local,"Our homeless shelter, they provide high quality transitional supports to build a path to self-sufficiency for their clients.",77-0160469,https://www.lifemoves.org,https://www.charitynavigator.org/ein/770160469,https://www.guidestar.org/profile/77-0160469,Nonprofit providing interim housing and supportive services to create pathways to stable housing for individuals and families experiencing homelessness.
